State Name,Non-Elderly Population,Non-Elderly Uninsured Population,Non-Elderly Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Less than High School,High_School,College Grad,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,Internet Access in HH,Cellular data plan for mobile device in HH,High Speed Internet service in HH,SNAP Recipient,Disabled,Full-time Worker in Family,"Self-Employed, Incorporated","Self-Employed, Unincorporated",No English Speaking Adults in HH,English Speaker,Other Language Spoken in HH,Non-Elderly Unisured Population,Total Children,Total married,Industrial Employed
ALABAMA,0.036673595509847313,0.6573198918776757,1.2796415568738604,1.3278159900285833,1.1545486210970544,0.3714071719478485,0.2159990290101296,-0.1702549980951974,0.054409891297313016,0.8526612011635649,0.6878632514805288,0.6206086100569864,0.5736279507963277,0.7677576247914046,0.7112130175810221,0.8374671472596504,-0.1244798465994459,-0.19808892799716782,0.791721499128022,1.6580245345290892,-0.4070840255989719,-0.30760601208273997,0.24989428029774943,0.5911691078310984,0.5383672890577661,0.3202834334727748,1.5196183795854012,1.389181235079629,0.48210229943448296,0.05526321897218415,0.43419646121097305,-0.21068528404483303,0.9065571024664704,-0.6475067500518766,"5,21,500",0.35177543900582137,0.5860551494063202,0.6243063675117183
ALASKA,-1.003232313368259,-0.9728967257304463,1.0398514971384256,-0.9473102918451589,-1.0586711373958073,-0.9727377126153158,-0.9156423729769596,-0.9108794321053885,-0.965321144931839,-0.9419821080953409,-1.016420831487455,-0.913563178507351,-0.980522310525315,-0.9565869906007727,-1.01335867875798,-0.9561689088464743,-0.8982281812720311,-0.8611832208690431,-0.997644077477995,-0.8643457382437348,-0.5473073963273379,2.3951458416539557,-0.37221648052753037,-0.9784031986326589,-0.9602719142068511,-0.9773688990986442,-0.9376177719261425,-0.9117481808112916,-0.9677198951467839,-1.0650480765282822,-0.948404555323231,-0.8440699151256554,-0.9550081741177902,-0.7339904614117612,"75,000",-1.0279956607547958,-0.9245959296978761,-0.9651491997353195
ARKANSAS,-0.4520352046365503,-0.18462400962385384,0.9713400514997296,-0.09560731079613477,-0.1716608839920534,-0.011798442584849028,-0.22332102999352374,-0.5781681479038873,-0.22097201955601412,-0.12969093355897995,-0.18622236188717098,-0.2428963120937975,-0.1565139838902487,-0.22227189887564705,-0.1424105983237625,-0.09748799294982126,-0.5426056876202858,-0.26104091782677624,-0.1229417980949048,-0.10019603094258443,-0.09859260999656666,-0.3225383427663681,0.05302378636569886,-0.20704129944737493,-0.22048445767752875,-0.35819860628263606,-0.4264986010255998,-0.08466793080620764,-0.2057556749277957,-0.400247967110423,-0.1754921814968183,-0.41221675757054926,-0.12428753162729847,-0.4529183994921363,"2,90,900",-0.09117336112624308,-0.06468685390010281,-0.21872791823269944
COLORADO,0.265738303056853,0.4561442241728436,0.25196987229342505,0.09781582542704388,0.06516224191671585,0.4269866122235833,0.7690716032915146,1.0443690736815159,0.33251835572344535,0.4945328261832481,0.5952126146382064,0.2468782188494337,0.46212223687094023,0.4455228845402613,0.3788982888800819,0.40186981934816296,0.7203929868034883,1.3043652292694863,0.2019264765659891,-0.556657139286192,0.047239695560934,-0.023891729093805044,0.43101513471523595,0.5080665827807502,0.5481319255047276,0.5736055675971399,-0.04886759847021602,0.04468585236994292,0.5728349466051978,1.704952379379464,0.7606439234482157,0.3850506102234929,0.3904478609632818,-0.1358114578392262,"4,66,400",0.46803748849818533,0.7917361040228146,0.47423743706506805
CONNECTICUT,-0.3178699993004284,-0.5851497945098807,-0.9127247035644016,-0.7164848917114209,-0.5634955104956535,-0.6041582665762326,-0.5371210721389904,-0.25912993017642033,-0.7771889484082788,-0.6278695110455658,-0.43247800191544905,-0.5722568851671203,-0.578597759766009,-0.5911572449540337,-0.5030744508001382,-0.6320034555169953,-0.4801023402511912,-0.1277925393541051,-0.7904387997899534,-0.47212730440774614,-0.36782148179502944,-0.6211849564389311,-0.2068452656246079,-0.5258140622046082,-0.5478322699947148,-0.5183957545582192,-0.6056537743309447,-0.6765594841273814,-0.5525349023341931,-0.6341591167204105,-0.5787508113192945,0.11929482095881218,-0.737482096288141,0.07319084461382819,"1,81,200",-0.556221559095699,-0.4469977808426263,-0.5164136724193554
DELAWARE,-0.9534189382974153,-1.0265679111253834,-0.43314458409353174,-0.9815066474205276,-1.1017298875610382,-1.059032106727641,-0.9607511290353704,-0.9655716980015256,-1.1343674664457626,-1.0370161740817376,-0.990819997623129,-0.9323350246410638,-1.025880567037337,-1.022243398802078,-0.9125617942230976,-1.065217213918707,-0.9585762408008122,-0.7552140379892023,-1.0383451141667175,-0.6462587642573445,-0.7043575715431079,-0.606252625755303,-1.0966998981974765,-1.0384927167459876,-1.0276944039596805,-1.0028674071286678,-0.8673608412181641,-1.0136632827076526,-1.0370757406280633,-0.9419369451546045,-1.0156143269603104,-0.7222651783793435,-1.0621683893012384,-0.7339904614117612,"60,300",-1.0558601188975938,-1.0315035445267884,-1.0083062777722647
DISTRICT OF COLUMBIA,-1.0183299614472632,-1.15800754882727,-1.5635834371320105,-1.062722991912028,-1.2309061380567305,-1.1599526693335802,-1.1882561595908339,-1.12281196245292,-1.1834454307562565,-1.1600602805693885,-1.1419868261553394,-1.0944555139776735,-1.1575455060791786,-1.1526923150967767,-1.036982948570843,-1.224916371073671,-0.986594982724889,-0.8769212183264452,-1.2026292986193792,-0.6648553279306026,-0.7043575715431079,-0.6211849564389311,-1.1754480957702969,-1.1608025869482952,-1.1657942622809934,-1.1442178320777117,-0.9060021531075523,-1.1234180078268108,-1.1919387928670846,-1.1389147553524885,-1.1212296823900065,-0.8285674940852157,-1.1922260863614917,-0.71236953357179,"24,300",-1.2095950603751,-1.1848927310204453,-1.1544518374882835
HAWAII,-0.8485626701322762,-1.0612533710744922,-1.4950719914933146,-0.9558593807390011,-1.0758946374618996,-1.0751208920706166,-1.098038647474012,-1.0658408521444438,-1.1125550378633207,-1.076030159065627,-1.0347071413905449,-0.9784113742419949,-1.0630491383457996,-1.0524799025789948,-1.036982948570843,-1.0914364785262385,-0.8960728934317175,-0.8485928229031214,-1.1537880545929122,-0.8558927547558902,0.546434895353917,-0.6211849564389311,-0.6950840905760933,-1.0551132217560573,-1.0495485902933563,-1.02115981506325,-0.8849250738951587,-1.0489415872102392,-1.1183075870479182,-0.8926924926051334,-0.9964115350640019,-0.7709870730778682,-1.0937669142912294,-0.5033672311187356,"50,800",-1.1298450594836436,-1.0315035445267884,-1.0593100972704725
IDAHO,-0.7224337862785206,-0.6537904941986437,0.4917599320288597,-0.7335830694991052,-0.649613010826115,-0.5500414431498594,-0.5998810805680838,-0.6191873473259901,-0.4527290732444577,-0.7078981981920053,-0.6580091573868918,-0.6439312067685687,-0.6686842970051639,-0.6300327498100697,-0.6164709459018809,-0.667756998163629,-0.6029537471490668,-0.4404540888411602,-0.49961139217780914,-0.8220808208045118,-0.6090056794478189,-0.2777413507154836,-0.6557099917896833,-0.6242585918796363,-0.593865556101819,-0.6353563022611536,-0.7812961011008906,-0.6648000492931859,-0.6047893064639241,-0.3756257408356875,-0.5835515092933716,-0.5982458100558258,-0.6376490753052705,-0.6907486057318188,"1,62,400",-0.5783209569330905,-0.5074238240067942,-0.639509429092915
ILLINOIS,1.9307636601846103,1.94177724030889,-0.15909880153874878,1.7499272541620392,1.6540301230137313,2.0855941193994574,1.959550513180879,1.9855318159775435,1.2104686061667258,1.93704991199782,2.0885945900572196,2.0882256714199787,1.938785476651212,1.9357505706883102,1.974323976908766,1.8606143593308186,2.030807993714162,2.730227798910117,1.1350902450110625,1.4619153176110948,1.5672610342564217,-0.5017263109699059,0.5727618903463124,2.0320390421655987,1.972373898697257,1.951079316610372,2.0096604712735506,1.3382236841314485,1.9333496141283788,2.2958858099731168,1.610367464859862,2.0836730299402437,1.6287436808609055,2.3722161715974264,"8,73,300",1.9842483488200893,2.1896693718400053,1.9950340165260567
